gene_name,log2FC,pvalue,adjustedpvalue,-log(adjustedp),category
ACSL5,-0.308667816126162,0.39981834997192955,0.4676384601900869,0.3300897781743316,Not Significant
ACSL6,-3.1376488925318853,0.0030014654829063816,0.007768952537204236,2.1096375317753617,Down
ACSM5,2.575110280500935,0.00010178753775562366,0.0005780200988445056,3.2380570600820646,Up
ACSS1,-0.7793426855972463,0.1371791543142164,0.1878916112252095,0.7260926093615764,Not Significant
ACSS2,-0.18108733792750442,0.35350797138545037,0.4216480350150399,0.37504991925271747,Not Significant
ACSS3,-1.3926241223368887,0.08671085952568916,0.1265978549075062,0.8975736530052812,Not Significant
ACTA1,-0.7791832097377487,0.059477224480273136,0.09181220259625911,1.0370995936568215,Not Significant
ACTB,1.012517230146532,0.0014199048683243747,0.0042852371610244905,2.368025137597477,Up
ACTBL2,0.48768066473746574,0.7661219412787903,0.8080737552552124,0.09254899808865484,Not Significant
ACTG1,0.9151757469384805,0.00020040573123015828,0.000959228572702933,3.0180778933137105,Not Significant
ACTL6A,2.4530249168372027,2.3010524280181972e-07,9.384940145690412e-06,5.027568492832647,Up
ACTL6B,-3.3256387782187513,0.0013992356938351985,0.004230462298828268,2.3736121709560285,Down
ACTN1,-0.08240189619794336,0.9095463615675106,0.9293812807009941,0.031806079188908036,Not Significant
ACTN2,0.03197551274941901,0.8359588545699088,0.8684592658489493,0.061250546856375446,Not Significant
ACTN3,-0.38990449038914043,0.8310527815685999,0.8645214499713006,0.06322422681041098,Not Significant
